Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight
20130102X72037,Accident,ERA13FA101,2013-01-02,"Jasper, AL",United States,335310N,0087190W,JFX,Walker County Airport,Fatal,Destroyed,Airplane,N7700Y,PIPER,PA-30,No,2.0,Reciprocating,091,Personal,,3.0,0.0,0.0,0.0,IMC,
20130111X91754,Accident,CEN13LA127,2013-01-02,"Elkhart, IN",United States,413925N,0008625W,3C1,Mishawaka Pilots Club Airport,Non-Fatal,Substantial,Airplane,N707HL,LUSCOMBE,8,No,1.0,Reciprocating,091,Personal,Pilot,0.0,0.0,0.0,2.0,VMC,
20130102X04956,Accident,WPR13FA083,2013-01-03,"Oceano, CA",United States,035358N,0120376W,L52,Oceano County Airport,Fatal,Substantial,Airplane,N45923,LUSCOMBE,8A,No,1.0,Reciprocating,091,Personal,GLEN P RAY,1.0,0.0,0.0,0.0,VMC,
20130104X61334,Accident,ERA13FA105,2013-01-04,"Palm Coast, FL",United States,292732N,0081118W,XFL,Flagler County Airport,Fatal,Destroyed,Airplane,N375B,BEECH,H35,No,1.0,Reciprocating,091,Personal,,3.0,0.0,0.0,0.0,IMC,
20130104X71845,Accident,ANC13CA019,2013-01-04,"Palmer, AK",United States,615419N,1485525W,,,Non-Fatal,Substantial,Airplane,N7780Y,PIPER,PA-18-150,No,1.0,Reciprocating,091,Personal,KELLER MATTHEW C,0.0,0.0,0.0,1.0,VMC,
20130122X82442,Accident,ANC13CA020,2013-01-05,"Skwentna, AK",United States,062310N,0151290W,,,Non-Fatal,Substantial,Airplane,N4538F,CESSNA,A185E,No,1.0,Reciprocating,091,Personal,William A Barnes,0.0,0.0,0.0,2.0,VMC,
20130107X22046,Accident,WPR13FA086,2013-01-07,"Woody, CA",United States,354237N,1185414W,,,Fatal,Destroyed,Airplane,N35SD,BEECH,V35A,No,1.0,Reciprocating,091,Personal,FLOYD JOHNSTON CONSTRUCTION CO INC,2.0,0.0,0.0,0.0,VMC,
20130107X32320,Incident,DCA13IA037,2013-01-07,"Boston, MA",United States,422147N,0071023W,BOS,Gen Edward Lawrence Logan Intl,,Minor,Airplane,JA829J,BOEING,787,No,,,129,,JAPAN AIRLINES INTERNATIONAL CO LTD,0.0,0.0,0.0,0.0,VMC,
20130114X34552,Accident,CEN13LA132,2013-01-07,"Antlers, OK",United States,341352N,0953715W,,,Non-Fatal,Substantial,Airplane,N222EG,BELLANCA,17-30A,No,1.0,Reciprocating,091,Personal,"RAM, Inc.",0.0,0.0,0.0,2.0,VMC,
20130109X80816,Accident,WPR13CA088,2013-01-08,"Rialto, CA",United States,034745N,0117245W,L67,Rialto Municipal Airport,Non-Fatal,Substantial,Airplane,N1254E,AERONCA,7AC,No,1.0,Reciprocating,091,Personal,Thomas Singer,0.0,1.0,0.0,0.0,VMC,
20130114X71442,Accident,CEN13CA134,2013-01-10,"Moriarty, NM",United States,345856N,0106018W,,,Non-Fatal,Substantial,Airplane,N6242U,MOONEY,M20C,No,1.0,Reciprocating,091,Personal,,0.0,0.0,0.0,1.0,VMC,
20130111X25405,Accident,CEN13FA130,2013-01-11,"Maxwell, NE",United States,041126N,1002813W,LBF,NORTH PLATTE RGNL AIRPORT,Fatal,Destroyed,Airplane,N36VE,RAYTHEON AIRCRAFT COMPANY,58,No,2.0,Reciprocating,091,Business,BOTTORFF CONSTRUCTION INC,4.0,0.0,0.0,0.0,IMC,
20130111X94242,Accident,CEN13CA129,2013-01-11,"Alexandria, MN",United States,455145N,0095240W,AXN,Alexindria Municipal Airport,Non-Fatal,Substantial,Airplane,N110BA,BEECH,65-B80,No,2.0,Reciprocating,135,,BEMIDJI AVIATION SERVICES INC,0.0,0.0,0.0,1.0,IMC,
20130114X64547,Accident,ERA13LA112,2013-01-11,"Brandon, FL",United States,275616N,0082164W,TPF,PETER O KNIGHT,Non-Fatal,Substantial,Airplane,N9454H,CESSNA,T182,No,1.0,Reciprocating,091,Personal,,0.0,0.0,0.0,2.0,VMC,
20130112X22759,Accident,CEN13FA131,2013-01-12,"Paris, TX",United States,333945N,0953252W,,,Fatal,Destroyed,Airplane,N5339V,PIPER,PA46-500TP,No,1.0,Turbo Prop,091,Executive/corporate,Celtic Bank Special Assets,3.0,0.0,0.0,0.0,IMC,
20130114X54150,Accident,CEN13CA133,2013-01-12,"Ankeny, IA",United States,414128N,0933359W,KIKV,Ankeny Regional Airport,Non-Fatal,Substantial,Airplane,N897GA,AMERICAN GENERAL ACFT CORP,AG5B,No,1.0,Reciprocating,091,Personal,,0.0,0.0,0.0,1.0,VMC,
