Latitude,Longitude,Injury.Severity,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,State_Code,Year,Month,Day_Of_Week,Large_Jets,Small_Jets,Major_Injuries
335310N,0087190W,Fatal,Piper,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,AL,2013.0,1.0,Wednesday,Other,Other,3.0
413925N,0008625W,Non-Fatal,Luscombe,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IN,2013.0,1.0,Wednesday,Other,Other,0.0
035358N,0120376W,Fatal,Luscombe,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,CA,2013.0,1.0,Thursday,Other,Other,1.0
292732N,0081118W,Fatal,Textron,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,FL,2013.0,1.0,Friday,Other,Other,3.0
615419N,1485525W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AK,2013.0,1.0,Friday,Other,Other,0.0
062310N,0151290W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,AK,2013.0,1.0,Saturday,Other,Other,0.0
354237N,1185414W,Fatal,Textron,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,CA,2013.0,1.0,Monday,Other,Other,2.0
422147N,0071023W,None,Boeing,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,MA,2013.0,1.0,Monday,Other,Other,0.0
341352N,0953715W,Non-Fatal,Bellanca,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,OK,2013.0,1.0,Monday,Other,Other,0.0
034745N,0117245W,Non-Fatal,Aeronca,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,CA,2013.0,1.0,Tuesday,Other,Other,1.0
345856N,0106018W,Non-Fatal,Mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,NM,2013.0,1.0,Thursday,Other,Other,0.0
041126N,1002813W,Fatal,Textron,2.0,Reciprocating,Business,4.0,0.0,0.0,0.0,NE,2013.0,1.0,Friday,Other,Other,4.0
455145N,0095240W,Non-Fatal,Textron,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,MN,2013.0,1.0,Friday,Other,Other,0.0
275616N,0082164W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,FL,2013.0,1.0,Friday,Other,Other,0.0
333945N,0953252W,Fatal,Piper,1.0,Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,TX,2013.0,1.0,Saturday,Other,Other,3.0
414128N,0933359W,Non-Fatal,American General Acft Corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IA,2013.0,1.0,Saturday,Other,Other,0.0
035544N,0075425W,Fatal,Piper,2.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,NC,2013.0,1.0,Sunday,Other,Other,2.0
285259N,0811831W,Non-Fatal,Textron,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,4.0,FL,2013.0,1.0,Sunday,Other,Other,0.0
391021N,0752925W,Fatal,Piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,DE,2013.0,1.0,Sunday,Other,Other,1.0
040530N,0831852W,Non-Fatal,Aviat,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,OH,2013.0,1.0,Tuesday,Other,Other,0.0
334812N,1182022W,Non-Fatal,Cirrus Design Corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CA,2013.0,1.0,Tuesday,Other,Other,0.0
036649N,0792514W,Fatal,Pilatus,1.0,Turbo Prop,Executive/corporate,1.0,0.0,0.0,0.0,NC,2013.0,1.0,Wednesday,Other,Other,1.0
453348N,0844934W,Fatal,Textron,1.0,Turbo Prop,Unknown,1.0,0.0,0.0,0.0,MI,2013.0,1.0,Wednesday,Other,Other,1.0
254725N,0801630W,Non-Fatal,Airbus,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,397.0,FL,2013.0,1.0,Thursday,Other,Other,0.0
394946N,0842435W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,OH,2013.0,1.0,Thursday,Other,Other,0.0
413523N,0109332W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,WY,2013.0,1.0,Friday,Other,Other,0.0
035550N,0993531W,Fatal,Textron,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,OK,2013.0,1.0,Saturday,Other,Other,3.0
374942N,1112440W,Fatal,Textron,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UT,2013.0,1.0,Saturday,Other,Other,2.0
341237N,0119547W,Non-Fatal,Quicksilver,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,CA,2013.0,1.0,Sunday,Other,Other,0.0
039552N,1213411W,Non-Fatal,Textron,1.0,Reciprocating,Positioning,0.0,2.0,0.0,0.0,CA,2013.0,1.0,Sunday,Other,Other,2.0
040036N,0105252W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,CO,2013.0,1.0,Sunday,Other,Other,1.0
032831N,1111028W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AZ,2013.0,1.0,Monday,Other,Other,0.0
331040N,0963520W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,TX,2013.0,1.0,Wednesday,Other,Other,0.0
322725N,0092431W,Fatal,Textron,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,LA,2013.0,1.0,Thursday,Other,Other,4.0
395124N,1043937W,Non-Fatal,Boeing,Unknown,Turbo Fan,Unknown,0.0,0.0,0.0,3.0,CO,2013.0,1.0,Friday,Other,Other,0.0
405724N,0073546W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,NY,2013.0,1.0,Sunday,Other,Other,0.0
411617N,0855014W,Non-Fatal,Mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IN,2013.0,1.0,Sunday,Other,Other,0.0
040712N,0761723W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,PA,2013.0,1.0,Sunday,Other,Other,0.0
040529N,1115537W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,UT,2013.0,2.0,Friday,Other,Other,0.0
303323N,0963422W,Non-Fatal,Cirrus Design Corporation,1.0,Reciprocating,Business,0.0,1.0,0.0,2.0,TX,2013.0,2.0,Friday,Other,Other,1.0
043570N,0107570W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,WY,2013.0,2.0,Friday,Other,Other,0.0
414728N,0111515W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,UT,2013.0,2.0,Saturday,Other,Other,0.0
341250N,0119540W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,CA,2013.0,2.0,Saturday,Other,Other,0.0
324449N,1101419W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,AZ,2013.0,2.0,Saturday,Other,Other,0.0
043594N,0883324W,Non-Fatal,Champion,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,WI,2013.0,2.0,Saturday,Other,Other,0.0
433352N,1161322W,Non-Fatal,Textron,1.0,Reciprocating,Other Work Use,0.0,2.0,0.0,0.0,ID,2013.0,2.0,Sunday,Other,Other,2.0
613211N,1602029W,Non-Fatal,Textron,1.0,Reciprocating,Business,0.0,2.0,1.0,0.0,AK,2013.0,2.0,Tuesday,Other,Other,2.0
485312N,1115518W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MT,2013.0,2.0,Wednesday,Other,Other,0.0
385853N,1192934W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,NV,2013.0,2.0,Thursday,Other,Other,1.0
003681N,0801319W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,NC,2013.0,2.0,Thursday,Other,Other,0.0
335433N,0945134W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,OK,2013.0,2.0,Thursday,Other,Other,0.0
345647N,0904628W,Non-Fatal,Air Tractor Inc,1.0,Turbo Prop,Other Work Use,0.0,1.0,0.0,0.0,AR,2013.0,2.0,Thursday,Other,Other,1.0
341524N,0825857W,Non-Fatal,Bombardier,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,39.0,GA,2013.0,2.0,Thursday,Other,Other,1.0
032724N,1111153W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,AZ,2013.0,2.0,Friday,Other,Other,1.0
313515N,1013033W,Non-Fatal,North American-Medore,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TX,2013.0,2.0,Friday,Other,Other,0.0
384141N,0964828W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,KS,2013.0,2.0,Friday,Other,Other,0.0
461937N,1195813W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,WA,2013.0,2.0,Saturday,Other,Other,2.0
425612N,0854820W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MI,2013.0,2.0,Tuesday,Other,Other,0.0
471818N,1193055W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,WA,2013.0,2.0,Wednesday,Other,Other,0.0
029246N,0805725W,Fatal,Textron,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,FL,2013.0,2.0,Wednesday,Other,Other,1.0
040583N,0981835W,Non-Fatal,Piper,1.0,Turbo Prop,Personal,0.0,0.0,0.0,1.0,NE,2013.0,2.0,Wednesday,Other,Other,0.0
291231N,0993133W,Non-Fatal,Textron,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,TX,2013.0,2.0,Wednesday,Other,Other,0.0
382948N,1215658W,Fatal,Avions Fairey,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,CA,2013.0,2.0,Thursday,Other,Other,1.0
323031N,0993626W,Non-Fatal,Textron,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,TX,2013.0,2.0,Thursday,Other,Other,0.0
027371N,0804254W,Fatal,Textron,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,FL,2013.0,2.0,Thursday,Other,Other,3.0
535334N,1663225W,Non-Fatal,Piper,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,AK,2013.0,2.0,Saturday,Other,Other,0.0
412526N,0088257W,Non-Fatal,Bellanca,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IL,2013.0,2.0,Saturday,Other,Other,0.0
032456N,0115317W,Non-Fatal,Temco,2.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,CA,2013.0,2.0,Saturday,Other,Other,1.0
304944N,0089318W,Fatal,Quicksilver,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,MS,2013.0,2.0,Sunday,Other,Other,1.0
401032N,1031311W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,CO,2013.0,2.0,Sunday,Other,Other,2.0
302351N,0973359W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,TX,2013.0,2.0,Sunday,Other,Other,0.0
425417N,1062731W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,WY,2013.0,2.0,Sunday,Other,Other,0.0
362429N,0851822W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TN,2013.0,2.0,Sunday,Other,Other,0.0
452527N,0891044W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,WI,2013.0,2.0,Sunday,Other,Other,1.0
