Investigation.Type,Accident.Number,Event.Date,Location,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Day_Of_Week,State_Code,new_lats,new_longs,Year,Month,Large_Jets,Small_Jets,Major_Injuries
Accident,ERA13FA101,2013-01-02,"Jasper, AL",335310N,0087190W,JFX,Walker County Airport,Fatal,Destroyed,Piper,PA-30,No,2.0,Reciprocating,091,Personal,Unknown,3.0,0.0,0.0,0.0,IMC,Wednesday,AL,33.88611111111111,-9.208333333333334,2013.0,1.0,Other,Other,3.0
Accident,CEN13LA127,2013-01-02,"Elkhart, IN",413925N,0008625W,3C1,Mishawaka Pilots Club Airport,Non-Fatal,Substantial,Luscombe,8,No,1.0,Reciprocating,091,Personal,Pilot,0.0,0.0,0.0,2.0,VMC,Wednesday,IN,41.65694444444444,-1.4402777777777778,2013.0,1.0,Other,Other,0.0
Accident,WPR13FA083,2013-01-03,"Oceano, CA",035358N,0120376W,L52,Oceano County Airport,Fatal,Substantial,Luscombe,8A,No,1.0,Reciprocating,091,Personal,GLEN P RAY,1.0,0.0,0.0,0.0,VMC,Thursday,CA,3.8994444444444443,-12.071111111111112,2013.0,1.0,Other,Other,1.0
Accident,ERA13FA105,2013-01-04,"Palm Coast, FL",292732N,0081118W,XFL,Flagler County Airport,Fatal,Destroyed,Textron,H35,No,1.0,Reciprocating,091,Personal,Unknown,3.0,0.0,0.0,0.0,IMC,Friday,FL,29.45888888888889,-8.188333333333334,2013.0,1.0,Other,Textron,3.0
Accident,ANC13CA019,2013-01-04,"Palmer, AK",615419N,1485525W,,,Non-Fatal,Substantial,Piper,PA-18-150,No,1.0,Reciprocating,091,Personal,KELLER MATTHEW C,0.0,0.0,0.0,1.0,VMC,Friday,AK,61.905277777777776,-148.92361111111111,2013.0,1.0,Other,Other,0.0
Accident,ANC13CA020,2013-01-05,"Skwentna, AK",062310N,0151290W,,,Non-Fatal,Substantial,Textron,A185E,No,1.0,Reciprocating,091,Personal,William A Barnes,0.0,0.0,0.0,2.0,VMC,Saturday,AK,6.386111111111112,-15.225,2013.0,1.0,Other,Textron,0.0
Accident,WPR13FA086,2013-01-07,"Woody, CA",354237N,1185414W,,,Fatal,Destroyed,Textron,V35A,No,1.0,Reciprocating,091,Personal,FLOYD JOHNSTON CONSTRUCTION CO INC,2.0,0.0,0.0,0.0,VMC,Monday,CA,35.71027777777778,-118.9038888888889,2013.0,1.0,Other,Textron,2.0
Incident,DCA13IA037,2013-01-07,"Boston, MA",422147N,0071023W,BOS,Gen Edward Lawrence Logan Intl,None,Minor,Boeing,787,No,Unknown,Unknown,129,Unknown,JAPAN AIRLINES INTERNATIONAL CO LTD,0.0,0.0,0.0,0.0,VMC,Monday,MA,42.363055555555555,-7.173055555555556,2013.0,1.0,Boeing,Other,0.0
Accident,CEN13LA132,2013-01-07,"Antlers, OK",341352N,0953715W,,,Non-Fatal,Substantial,Bellanca,17-30A,No,1.0,Reciprocating,091,Personal,"RAM, Inc.",0.0,0.0,0.0,2.0,VMC,Monday,OK,34.23111111111111,-95.62083333333332,2013.0,1.0,Other,Other,0.0
Accident,WPR13CA088,2013-01-08,"Rialto, CA",034745N,0117245W,L67,Rialto Municipal Airport,Non-Fatal,Substantial,Aeronca,7AC,No,1.0,Reciprocating,091,Personal,Thomas Singer,0.0,1.0,0.0,0.0,VMC,Tuesday,CA,3.7958333333333334,-12.212499999999999,2013.0,1.0,Other,Other,1.0
